group,item,sentence,lexicon,quantifier,noun,condition,imga,imgb
NA,1,The girl has too many cats in Bogota.,NA,NA,NA,NA,img1.png,img2.png
NA,2,The salesman ate some rice in China.,NA,NA,NA,NA,img1.png,img2.png
NA,3,The taxist did more rides in Toronto than in Vancoover.,NA,NA,NA,NA,img1.png,img2.png
NA,4,There was a leak of oil in Luanda.,NA,NA,NA,NA,img1.png,img2.png
NA,5,The tourists ate a few pasta in Italy.,NA,NA,NA,NA,img1.png,img2.png
NA,6,The friend sent many videos of San Francisco.,NA,NA,NA,NA,img1.png,img2.png
NA,7,The woman brought some gifts from Madagascar.,NA,NA,NA,NA,img1.png,img2.png
NA,8,The baker did too much bread in São Paulo.,NA,NA,NA,NA,img1.png,img2.png
NA,9,The teacher is taller than the dean.,NA,NA,NA,NA,img3.png,img4.png
NA,10,The pilot travels more to Paris than the baker.,NA,NA,NA,NA,img3.png,img4.png
NA,11,The banker has more money than the cleanner.,NA,NA,NA,NA,img3.png,img4.png
NA,12,The man loves more the woman than the woman loves the man. ,NA,NA,NA,NA,img3.png,img4.png
NA,13,The bottle is bigger than the cup.,NA,NA,NA,NA,img3.png,img4.png
NA,14,The woman is older than her sister.,NA,NA,NA,NA,img3.png,img4.png
NA,15,The city of São Paulo is bigger than Florianópolis.,NA,NA,NA,NA,img3.png,img4.png
NA,16,The city of Moscow is more populated than Toronto.,NA,NA,NA,NA,img3.png,img4.png
NA,17,The country of Russia is bigger than Brazil.,NA,NA,NA,NA,img3.png,img4.png
NA,18,The man is taller than his brother.,NA,NA,NA,NA,img3.png,img4.png
NA,19,The cooker ears more money than the waitress.,NA,NA,NA,NA,img3.png,img4.png
NA,20,The pilot works more than the truker.,NA,NA,NA,NA,img3.png,img4.png
NA,21,The city of New York has more traffic than Tokio.,NA,NA,NA,NA,img3.png,img4.png
NA,22,The Brazilians buy as well as items online than at stores.,NA,NA,NA,NA,img3.png,img4.png
NA,23,The parents has as well as energy as their children.,NA,NA,NA,NA,img3.png,img4.png
NA,24,The woman is tallented as the man.,NA,NA,NA,NA,img3.png,img4.png
NA,25,The mas is rich as the woman.,NA,NA,NA,NA,img3.png,img4.png
NA,26,The beautician bought the same amount of clippers and scissors.,NA,NA,NA,NA,img3.png,img4.png
NA,27,The doctor has the same number of houses as the dentist.,NA,NA,NA,NA,img3.png,img4.png
NA,28,The businesswoman has as many bakeries as markets.,NA,NA,NA,NA,img3.png,img4.png
NA,29,The kid buys the same amount of bread on Monday and Sunday.,NA,NA,NA,NA,img3.png,img4.png
NA,30,The same number of people live in the city and the countryside.,NA,NA,NA,NA,img3.png,img4.png
NA,31,The grandfather has as much hair as his grandson.,NA,NA,NA,NA,img3.png,img4.png
NA,32,The city of Fortaleza has as many cars as Curitiba.,NA,NA,NA,NA,img3.png,img4.png